syscall,mean,median,mode,max,
open,3.11999456048738,3.0,2,7,
write,3.939267518984908,2,16,20,
fallocate,3.3480332378548536,2,5,10,
rename,2.4072744194236053,2,8,9,
close,1.8277083538325298,2,6,6,
mkdir,3.6857246194876403,2,6,10,
link,2.4542541684524175,1,7,7,
unlink,2.3489706571562476,2,7,7,
rmdir,2.2592781325180087,2.0,6,6,
ftruncate,1.352378719521468,1.0,6,7,
