syscall,mean,median,mode,max,
link,1.0708436815193572,1.0,4,5,
mkdir,1.0887461684425632,1.0,6,6,
rmdir,1.042857142857143,1.0,1,2,
open,1.8177381116814717,1.0,2,6,
rename,1.0784096332110542,1,5,5,
close,1.0603330872097794,1,1,2,
ftruncate,1.1548245699861064,1,4,8,
write,1.698080352902688,1.0,8,10,
unlink,1.1539282831176272,1,3,4,
fallocate,1.5092565020662807,1,4,6,
