syscall,mean,median,mode,max,
rmdir,1.928521032327275,2,4,4,
mkdir,1.927625060942317,2,3,4,
open,1.8597329798776279,2,5,5,
unlink,1.8614171228496659,2,4,4,
write,1.7528142077267246,2,8,10,
ftruncate,1.6882859914091728,2,5,5,
link,1.732045236406126,2.0,3,3,
rename,2.0595065482101167,2,5,5,
fallocate,1.5981354174667792,2.0,2,3,
close,1.941104933981932,2.0,1,2,
