syscall,mean,median,mode,max,
mkdir,2.033968874856119,2.0,4,4,
open,1.8705020791924256,2,4,4,
ftruncate,2.0339057827742284,2.0,2,5,
write,2.1053270837767557,2.0,8,10,
read,1.5676470588235294,2.0,2,2,
fallocate,1.9957676211193343,2.0,4,4,
rename,1.9819694618502295,2.0,2,4,
close,1.8994524639123942,2.0,1,2,
fdatasync,1.4957627118644068,1.0,2,2,
rmdir,1.936178452913986,2,3,4,
unlink,1.9539932875939292,2.0,4,4,
link,1.8556412886728215,2,4,4,
fsync,1.4983552631578947,1.0,2,2,
