syscall,mean,median,mode,max,
mkdir,2.034316409242345,2,4,4,
open,1.8758903428855391,2.0,4,4,
write,1.5257463738561805,1.0,6,10,
fallocate,2.3061097311965773,2.0,4,4,
ftruncate,1.6389723663138283,2.0,4,5,
unlink,1.9658754424714744,2.0,4,4,
rename,1.9773002830643076,2.0,4,4,
link,1.8709127096957634,2,4,4,
rmdir,1.9357426237513617,2,1,3,
close,1.9363076923076923,2.0,1,2,
